193110057,MEMS,M.Tech,2021,Graduate Data Analyst,ANZ Bank,"Intern at DRDO, Intern at JBM, Intern at SoftTact Technologies",Analytics,,0,1
170110062,MEMS,B.Tech,2021,Data Scientist,LnT Infotech,"Blockchain Internship, GSec Hostel 4",Analytics,,0,1
170110080,MEMS,B.Tech,2021,Business Analyst,Noon,"VP at ShARE, Marketing CG at Manch, TA at ELIT",Analytics,,0,1
170110075,MEMS,B.Tech,2021,"Entrepreneur in Residence , Growth & Strategy",andMe,"Product and Strategy Intern at Gupshup, Intern at Sattva Consulting, Abhyuday OC 20-21",Consultancy,,0,1
170110041,MEMS,B.Tech,2021,Graduate Trader,Proprietary Trading Firm,"Quant Analyst, Investment Management Trainee",Finance,,0,1
16d110023,MEMS,Dual Degree,2021,Software Developer,HSBC,,IT/Software,,0,1
183110024,MEMS,M.Tech,2020,Post Graduate Trainee Engineer,Bajaj Auto Ltd,,Core,Process Engineering,0,1
160110082,MEMS,B.Tech,2020,Full Stack Developer,SCGBS,,IT/Software,Full Stack Web Development,0,1
195280014,Mathematics,MSc,2021,Analyst BI,IDFC FIRST BANK,Intern at Motilal Oswal,Analytics,,0,1
195280003,Mathematics,MSc,2021,Corporate Model Risk Analyst,Wells Fargo,"Intern at Accenture Operations, Intern at Cytel Statistical Services",Analytics,,0,1
160110031,MEMS,B.Tech,2020,Data Analyst,Tata AIG general insurance company,Quantitative researcher at OYO Rooms ,Analytics,,0,1
183110025,MEMS,M.Tech,2020,Technologist,Tata Steel RnD,Collection strategy analyst at IDFC FIRST BANK,Core,Material Modelling,0,1
17B030029 ,Chemistry ,BS,2021,Software Developer ,Atyati Technologies,"Supply Chain Intern at Reliance Industries, Market Research Intern at Reliance Jio, E-cell manager",Analytics ,,0,1
17B030027,Chemistry ,BS,2021,Data Scientist,Thales,,Analytics,,0,1
17b030022 ,Chemistry ,BS,2021,Management Trainee,American Express,"Internship at Aditya Birla Group, Internship in Supply Chain management, DgSec of Chemistry department(2020-21)",Analytics ,,0,1
183230014,Systems & Control Engineering,M. Tech ,2020,Edison Engineer,"GE Research, Bangalore",,Mechanical(core control),Systems and control ,0,1
16B030030,Chemistry ,BS,2020,Business Analyst,Swiggy,"Indian Languages Secy, TEDx Volunteer Head",Analytics ,,0,1
170110010,MEMS,B.Tech,2021,Product Management,IDFC Bank,"Marketing Intern at OnePlus, Activity Associate NSS",Finance,,0,1
170110076,MEMS,B.Tech,2021,Technology manager,IT Axis bank,Data Science Intern at comdex ,IT/Software,,0,1
193190010,IEOR,M.Tech,2021,Management Trainee ,DHL,"Company Coordinator in IPT 2020-21, Logistics Assistant at Reckitt Benckiser",FMCG,,0,1
193190021,IEOR,M.Tech,2021,Analyst,Accenture,,Analytics,,0,1
193190026,IEOR,M.Tech,2021,Data Scientist,Blume Global,,Analytics,,0,1
183190010,IEOR,M.Tech,2020,Data Scientist,Grofers,,Analytics,,0,1
           09i19007,IEOR,M.Sc & PhD,2020,Operations research scientist,Udaan,Team Lead Data Science & Optimization at ExxonMobil,Core,supply chain and operations,0,1
185300002,BSBE,MSc,2020,Data analyst,Citius Tech,"Research Intern at IISc Bangalore, Data Analyst Intern at Shapecrunch.com, Company Coordinator at IPT IIT Bombay",Core,Biotechnology,0,1
183300011,BSBE,Mtech,2020,R&D Engineer,Unisoft India,M.tech Representative at BSBE 2019-20,IT/Software,AI/ML/DL        ,0,1
170260018,EP,B. Tech,2021,Scribe Engineer,Micron Technology,"Scribe Design Intern at Micron, Core Team Member in IIT Bombay Racing",Core,Micro-electronics(VLSI Design),0,1
